"","x","y","stem.density","basal.area","biomass"
"4327",140000,1484000,50.8444918552159,5.69129364109878,11316.6721233087
"4328",148000,1484000,183.116471015816,15.4045794745242,25377.517838884
"4329",156000,1484000,66.5012483193854,3.55030702717611,3716.8575866073
"4505",140000,1476000,92.7159568460543,7.52962560732857,10081.2349278102
"4506",148000,1476000,128.362575994437,16.8756200464236,38129.6745065231
"4507",156000,1476000,65.0842050082299,8.01405990853134,15054.9473330773
"4508",164000,1476000,10.411517045779,1.41154347166344,5069.74921200245
"4663",-20000,1468000,5.87397365139629,0.488046378926791,1079.37429031376
"4664",-12000,1468000,0,0,0
"4665",-4000,1468000,0,0,0
"4666",4000,1468000,4.00724204086168,0.666003840151999,4162.77198600531
"4667",12000,1468000,6.07961152798065,0.732666338967853,2981.6538137955
"4668",20000,1468000,4.53513974331762,0.688083243015857,1267.45816259762
"4682",132000,1468000,45.6700476659803,4.31033145093781,5064.45220554549
"4683",140000,1468000,133.665346209876,11.4382300486752,15215.9455358723
"4684",148000,1468000,112.191146802822,8.73844097779365,10144.6574313608
"4685",156000,1468000,0,0,0
"4841",-20000,1460000,1.79480576183321,0.701689352830648,3271.04115322992
"4842",-12000,1460000,0,0,0
"4843",-4000,1460000,0,0,0
"4844",4000,1460000,0.257063169008673,0.0388577177485101,334.162747828471
"4845",12000,1460000,4.94433701657193,0.549946950174759,2654.14119530989
"4846",20000,1460000,5.96692046354986,0.847462850196086,2997.59137338107
"4847",28000,1460000,10.9939081185003,1.92823626819496,12633.5793385003
"4848",36000,1460000,0.494735733522526,0.0422429028540881,215.422859993617
"4849",44000,1460000,33.6713703759639,2.46105505610867,9092.22602468776
"4850",52000,1460000,2.41690228124857,0.242193648062397,504.382012134642
"4851",60000,1460000,11.726438696429,0.994697076276151,3387.33628236581
"4852",68000,1460000,599.641414617575,74.0544993896305,111216.298918678
"4860",132000,1460000,0.250315772355678,0.0126836873988689,20.5100611471294
"4861",140000,1460000,23.4323600038146,6.08131498184464,23973.5149823344
"4862",148000,1460000,1.23561895634762,0.0626097366495985,71.2740878908773
"4863",156000,1460000,73.1082367189364,20.5095010585188,34658.0859816452
"5019",-20000,1452000,2.27384751038429,0.43264990250015,2072.17165611249
"5020",-12000,1452000,0.0202411032357633,0.00697429650842718,117.007814048137
"5021",-4000,1452000,1.64116238494952,0.047516128136008,275.636873566482
"5022",4000,1452000,0.703379296694716,0.134320374371932,1366.2630755916
"5023",12000,1452000,23.0029903721435,3.04952568171843,14387.8189876485
"5024",20000,1452000,15.9664799674087,2.48362155414172,15330.9593812528
"5025",28000,1452000,0.481407724694453,0.0545856243827862,274.253682574427
"5026",36000,1452000,2.76151444877094,0.226139143735046,1264.57643026206
"5027",44000,1452000,7.90922293364727,0.689956587173963,5584.54905823129
"5028",52000,1452000,0.265188719395169,0.0263371290680047,198.991933637774
"5029",60000,1452000,8.17811540251032,0.553378160728,1448.10303446145
"5030",68000,1452000,77.3005834298931,8.51548050288446,31227.7703728431
"5031",76000,1452000,58.9197494641289,4.13679391071204,9981.92658519992
"5032",84000,1452000,55.2587586592745,2.93040965241467,3501.99147354826
"5033",92000,1452000,187.479878134422,8.4319923851669,12808.7076545678
"5034",1e+05,1452000,97.1236421612191,8.20037158576297,10520.0282563464
"5035",108000,1452000,116.78230441768,10.9281198355162,12306.0888898006
"5036",116000,1452000,88.4444482764198,4.26034112043179,3887.08811294296
"5197",-20000,1444000,5.39370742485127,1.09321275689434,2411.58310391779
"5198",-12000,1444000,6.94580155132207,0.202514214844318,1650.78478651826
"5199",-4000,1444000,0.467613221981734,0.221482655133356,3037.32986962972
"5200",4000,1444000,0.345379965645106,0.0513525152041619,518.175830381918
"5201",12000,1444000,15.7477094438925,1.15446462642527,9809.7135522449
"5202",20000,1444000,3.36378895194297,0.262702451201808,1883.63236306819
"5203",28000,1444000,15.0202468426803,1.45011126348975,5967.85969907255
"5204",36000,1444000,35.7264060764799,2.41361550479991,6561.65445471337
"5205",44000,1444000,10.5019167754942,1.23712445367845,4227.52176211749
"5206",52000,1444000,21.2368021468315,2.55847792274359,10064.1572884795
"5207",60000,1444000,13.4929645598486,1.0380369692373,4340.3321054976
"5208",68000,1444000,4.66845195214913,0.310466326700505,2061.44331538217
"5209",76000,1444000,0.96633420211552,0.123641666204483,1006.5628282022
"5210",84000,1444000,9.08757305960571,0.464995744411582,1150.29155237855
"5211",92000,1444000,74.0486665393317,2.93219399439146,10737.8724905269
"5212",1e+05,1444000,95.9914678084629,13.2317849124687,33779.7719327545
"5213",108000,1444000,67.9637988272941,6.77810082812316,15819.6654228628
"5214",116000,1444000,207.217679557755,24.6618850087395,67499.4497098136
"5215",124000,1444000,0,0,NA
"5217",140000,1444000,68.3691444389663,3.27625129932929,6149.07007648446
"5218",148000,1444000,537.394039484815,24.3617248018698,32881.56525371
"5376",-12000,1436000,0.00750294141177969,0.00243314977829063,40.4198306709862
"5377",-4000,1436000,0.216622651757513,0.0878114542299717,1526.88962297942
"5378",4000,1436000,4.05425344703018,1.24739733313818,14347.9341815063
"5379",12000,1436000,9.70643288240519,0.916229562438912,5440.57818570621
"5380",20000,1436000,1.10723247059225,0.117243184373026,492.628635362199
