"","x","y","NonTree","Ashes","Birches","Tamarack","Pine","Fir","Elms","Maple","Cedar","Poplar","Basswood","Spruce","Oaks","Willow","Alder","Ironwoods","Walnuts","Hickory","Beech","Celtis","Cherries","Juniper","Rose Trees","Sycamore","Hardwood undif","Water","Hemlock","*******","Cornus","Buckeye"
"13761",140000,1060000,45,3,2,7,0,0,16,4,0,15,6,0,56,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13762",148000,1060000,71,3,1,1,0,0,3,0,0,23,1,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13763",156000,1060000,26,0,0,6,0,0,1,0,0,8,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13764",164000,1060000,19,6,0,4,0,0,3,1,0,16,0,0,90,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13765",172000,1060000,5,19,0,1,0,0,19,6,0,23,9,0,62,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13766",180000,1060000,6,30,2,17,0,0,18,10,0,13,16,0,30,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13767",188000,1060000,0,32,2,17,0,0,25,33,0,2,15,0,15,2,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"13768",196000,1060000,6,17,0,19,13,0,18,34,0,9,14,0,13,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"13769",204000,1060000,15,7,2,30,2,0,17,27,0,11,4,0,38,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0
"13770",212000,1060000,12,8,8,24,4,0,4,15,0,19,9,0,33,1,1,6,3,2,0,0,1,0,0,0,0,0,0,0,0,0
"13771",220000,1060000,3,8,9,32,16,0,10,11,0,24,13,0,18,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
"13772",228000,1060000,8,6,7,28,19,0,8,20,0,6,5,0,32,1,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0
"13773",236000,1060000,26,11,7,23,5,0,9,39,0,4,14,0,10,0,0,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0
"13774",244000,1060000,10,10,4,28,5,0,10,15,0,28,7,0,28,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"13775",252000,1060000,2,7,3,17,27,0,11,11,0,35,9,0,24,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"13776",260000,1060000,11,1,3,7,98,0,1,0,0,3,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"13777",268000,1060000,18,6,2,20,41,0,2,14,0,11,3,0,29,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13778",276000,1060000,8,14,7,6,20,0,14,24,0,6,14,0,21,0,0,4,5,0,0,1,0,0,0,0,0,8,0,0,0,0
"13779",284000,1060000,5,2,13,4,51,0,17,4,0,3,3,0,34,0,0,5,1,1,0,0,0,0,0,0,0,5,0,0,0,0
"13780",292000,1060000,6,2,3,4,67,0,6,6,0,11,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"13781",3e+05,1060000,5,6,4,19,65,0,7,10,0,16,1,0,8,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"13782",308000,1060000,1,6,2,21,91,0,4,0,0,8,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"13783",316000,1060000,4,1,10,5,52,0,1,19,0,9,8,0,39,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"13784",324000,1060000,3,3,8,13,48,0,4,16,1,7,6,0,30,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
